Date,AAPL_bm,AMT_bm,AMZN_bm,BA_bm,BAC_bm,BHP_bm,COR_bm,CVX_bm,DUK_bm,DVA_bm,ECL_bm,GE_bm,GOOGL_bm,JPM_bm,KO_bm,LLY_bm,META_bm,MMM_bm,MSFT_bm,NEE_bm,NKE_bm,NVDA_bm,PEP_bm,PG_bm,PLD_bm,RIO_bm,SBUX_bm,SLB_bm,SO_bm,SPG_bm,VZ_bm,WFC_bm,XOM_bm
2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,37.079489135742186,142.11601638793945,76.82112426757813,315.52597961425784,21.77724084854126,32.97525072097778,69.2746810913086,87.06108436584472,69.2690055847168,53.12649993896484,138.59953536987305,46.32427406311035,52.36022548675537,84.20205383300781,40.214096260070804,103.6856502532959,136.8607883453369,152.7952033996582,96.30951690673828,38.3572696685791,69.29856452941894,34.3465030670166,94.43001441955566,80.21286048889161,52.45170421600342,29.18238220214844,57.075988578796384,33.14497594833374,36.220670509338376,125.98371810913086,42.980112648010255,39.956254386901854,54.06555995941162
2019-01-15,36.93078880310058,141.9984573364258,77.02774925231934,317.15308380126953,21.868239307403563,33.092323303222656,69.19557685852051,86.99320678710937,69.04324188232422,53.06399993896484,138.41145248413085,46.807081413269046,52.44722557067871,84.29666786193847,40.13898830413818,103.92325248718262,137.10502967834472,152.50722274780273,96.26117668151855,38.28511962890625,69.55184936523438,34.38891887664795,94.21635932922364,80.01016273498536,52.40266456604004,29.302826595306396,57.01930599212646,33.25817003250122,36.19895362854004,125.55990562438964,43.04222164154053,40.00472221374512,53.91557445526123
2019-01-16,36.82294750213623,142.16419830322266,77.43492431640625,318.89873657226565,22.043202781677245,33.17408390045166,69.20945472717285,86.9515266418457,68.92975616455078,53.09249992370606,138.4407516479492,47.34879703521729,52.6068754196167,84.48123626708984,40.079155921936035,104.3118881225586,137.47214012145997,152.3728874206543,96.37918395996094,38.27438583374023,69.92017707824706,34.454154586791994,94.02122764587402,79.94887199401856,52.49111042022705,29.414861011505128,56.98781566619873,33.35321912765503,36.23394088745117,125.48241081237794,43.108124351501466,40.104659461975096,53.82351188659668
2019-01-17,36.70060787200928,142.29597091674805,77.78927459716797,320.4063232421875,22.24190511703491,33.25934352874756,69.20205345153809,87.0396484375,68.84846420288086,53.174499893188475,138.60756912231446,47.89939918518066,52.74615039825439,84.70395431518554,40.02568893432617,104.89484214782715,137.7038944244385,152.25826110839844,96.4810791015625,38.268742370605466,70.29797172546387,34.51343765258789,93.90836944580079,79.89926643371582,52.55328521728516,29.531700897216798,56.95902423858642,33.50573072433472,36.29587306976318,125.41826438903809,43.1758373260498,40.22089557647705,53.82849884033203
2019-01-18,36.651839637756346,142.43047103881835,78.29207458496094,322.60138549804685,22.466983604431153,33.361025428771974,69.36627883911133,87.29925231933593,68.78286781311036,53.373999786376956,138.94215087890626,48.311614418029784,52.92575054168701,85.05193634033203,40.01338272094726,105.23927383422851,138.54300346374512,152.4955612182617,96.67159614562988,38.286116409301755,70.84146614074707,34.74188804626465,93.9096607208252,79.91603584289551,52.70434455871582,29.6629581451416,56.987815284729,33.80556764602661,36.373891830444336,125.49279403686523,43.24556331634521,40.40704612731933,53.9132740020752
2019-01-22,36.609542274475096,142.60972442626954,78.72042465209961,324.78041687011716,22.68590784072876,33.41559886932373,69.66650886535645,87.59140357971191,68.68105278015136,53.655499649047854,139.28287506103516,48.67083053588867,53.06337547302246,85.36475791931153,40.02102108001709,105.59843940734864,139.25075340270996,152.69183578491212,96.86922187805176,38.31344871520996,71.46733818054199,34.911427879333495,93.89673767089843,79.9237102508545,52.897437477111815,29.740150737762452,57.13357067108154,34.14083309173584,36.45351905822754,125.68523139953614,43.34159984588623,40.570892333984375,54.038326263427734
2019-01-23,36.64776554107666,142.99527816772462,79.3768497467041,327.4069107055664,22.929889297485353,33.464568519592284,70.0079116821289,87.87641105651855,68.61907768249512,54.01249961853027,139.70866165161132,49.13604469299317,53.296275520324706,85.76374473571778,40.05072498321533,106.02989921569824,140.21722831726075,153.03531723022462,97.27110862731934,38.37176628112793,71.85223617553712,35.15600166320801,93.95316734313965,80.1259750366211,53.16890602111816,29.805028247833253,57.36030216217041,34.46961631774902,36.553656578063965,126.02969322204589,43.473076057434085,40.78535079956055,54.16030998229981
2019-01-24,36.718101501464844,143.5704315185547,80.15427474975586,330.52168426513674,23.20903959274292,33.54664249420166,70.37521896362304,88.37338829040527,68.73135528564453,54.39549961090088,140.37121047973633,49.68370246887207,53.54460048675537,86.25199737548829,40.12413578033447,106.409326171875,141.3045753479004,153.59438247680663,97.84313201904297,38.506770324707034,72.43644752502442,35.537497425079344,94.10263938903809,80.46245498657227,53.55377902984619,29.880118370056152,57.54834537506103,34.83123569488525,36.752321434021,126.57141761779785,43.64934062957764,41.05900058746338,54.38624820709229
2019-01-25,36.72517147064209,144.0105972290039,80.65345001220703,332.964045715332,23.449504566192626,33.614573097229005,70.6814640045166,88.60480842590331,68.75550079345703,54.70899963378906,140.89387741088868,50.20486049652099,53.6787504196167,86.60511436462403,40.142382049560545,106.58798866271972,142.0452896118164,153.98210906982422,98.15639381408691,38.54948482513428,72.7962532043457,35.87297983169556,94.14657669067383,80.64853134155274,53.905812454223636,29.975032138824464,57.728739738464355,35.19371852874756,36.90755424499512,126.95889015197754,43.746670150756835,41.25372943878174,54.50439624786377
2019-01-28,36.72696952819824,144.43160552978514,81.09407501220703,335.19068756103513,23.680737590789796,33.69452476501465,70.98632011413574,88.71793785095215,68.74302558898925,54.97849960327149,141.37023010253907,50.69362964630127,53.74615039825439,86.93320770263672,40.12710590362549,106.68652725219727,142.69210357666014,154.08265991210936,98.34122314453126,38.552915000915526,73.11108360290527,35.95781164169311,94.12073249816895,80.74658241271973,54.28718185424805,30.106589984893798,57.895189094543454,35.53546409606933,37.047504615783694,127.37306175231933,43.76556396484375,41.43773593902588,54.59262313842773
2019-01-29,36.70839710235596,144.90429306030273,81.38372497558593,337.5485107421875,23.90054111480713,33.8077428817749,71.24445343017578,88.8441665649414,68.72330627441406,55.290499687194824,141.8730484008789,51.10290050506592,53.80460033416748,87.28275070190429,40.135593032836915,106.75605735778808,143.24102096557618,154.38753128051758,98.4620735168457,38.554464149475095,73.43680152893066,35.932387065887454,94.06215057373046,80.88229103088379,54.68343925476074,30.292813205718993,58.05938854217529,35.855174732208255,37.19348793029785,127.78463859558106,43.7108039855957,41.612304878234866,54.7207447052002
