Date,AAPL_bu,AMT_bu,AMZN_bu,BA_bu,BAC_bu,BHP_bu,COR_bu,CVX_bu,DUK_bu,DVA_bu,ECL_bu,GE_bu,GOOGL_bu,JPM_bu,KO_bu,LLY_bu,META_bu,MMM_bu,MSFT_bu,NEE_bu,NKE_bu,NVDA_bu,PEP_bu,PG_bu,PLD_bu,RIO_bu,SBUX_bu,SLB_bu,SO_bu,SPG_bu,VZ_bu,WFC_bu,XOM_bu
2020-01-21,79.23692914847493,215.02765195076924,97.00094545036856,339.0766886857111,32.07735869019014,42.20133428521581,86.65735234902483,101.6798049946685,78.79425679636489,79.71092379225627,186.67943940840465,76.5180968021043,74.55067231931619,123.79368187138542,50.100892854609995,134.76421597978293,226.36271352106357,152.07346540895773,160.71563679781488,57.767496576447314,99.95372401214163,62.84844163083856,125.2866270545269,114.55792634178923,84.96721352338149,40.670895142638024,85.56776568136742,38.0532197388336,56.54032141039535,116.52253484090605,49.518881243895926,50.15351393380925,57.277916330343125
2020-01-22,79.4124776905912,215.63323318055384,96.77072284427572,341.7449412233475,32.103895086321224,42.400873916153394,87.42318975304266,101.89697978766091,79.46077745673125,80.39759834337656,187.49327466093905,76.36292446552476,75.13090677115245,123.78043512217496,50.41517525605422,135.5867288912929,227.14117794552044,151.91077671490038,161.29534975057564,58.425555425842596,100.26737771871485,63.12777325982633,126.29486923559614,114.6826196670155,85.44507647698744,40.82319971414336,85.90964754897226,38.308429952294716,57.16732130975909,116.52500690363864,49.373234224786756,50.19299723778366,57.43747814621419
2020-01-23,79.65751760160192,216.5987081155786,96.43464831237479,341.11990867995644,32.13469233881067,42.4584082139204,87.92128245967756,101.89847792651562,80.17218898926801,80.975077049084,188.61864146690556,76.31852602151073,75.61527301005967,123.76920973901639,50.72480791173139,136.18014606811647,227.50781576185804,151.91141596478036,161.95972132964002,58.94938423794623,100.27505716065072,63.51144890902612,127.24154692317457,114.75848351523523,86.17793585967178,40.8229315067138,86.42887751654676,38.38666774974104,57.84170954833891,116.57120814349732,49.34068456104349,50.143243103542524,57.55270431683953
2020-01-24,79.72185712294497,217.3315068694291,95.71977646669265,340.6476549777908,32.233398180295296,42.459058963898386,88.06404856462996,101.93302485147437,80.79506065887716,82.19400220287324,189.54692157162063,76.22764450202422,75.81626442449688,124.28314076737149,50.94842964533663,136.36717347839203,227.39306383582175,151.85921676122567,162.21314075992814,59.607798125192396,100.18795368816026,63.729948762494516,127.90563725665082,114.8272294421831,86.88459768230945,40.88272557988405,86.60025150907671,38.4934660035231,58.50383725207731,116.596036543951,49.300319769505265,50.082397934882735,57.68310562109744
2020-01-27,79.5919823960204,218.0156483041657,95.94587228461172,340.7847472846598,32.37045326366565,42.64981018424499,88.0783286270087,101.9741655328437,81.28168514105151,82.88221861743483,190.11104659865194,76.13108106038484,75.83280552385023,124.74725403576034,51.11509614239179,136.4035878912186,227.2207237097049,151.95364047024398,162.2196608577543,60.33733713470476,100.23565886951677,63.72649699657633,128.36252360711418,114.96973537161742,87.28409217777515,41.31180056130835,86.57231112385746,38.87734936845589,59.12040365758486,116.93722994708739,49.23068600271781,49.93083344684151,57.96485120686495
2020-01-28,79.59779334243112,218.5899580714219,95.96697162149991,340.7507399216581,32.380758907220184,42.734558694236405,88.18009083573081,101.81838540430127,81.7287187659139,83.64480164807358,190.88581009729512,75.96655454890546,75.861594208399,124.69421307325699,51.204604619608915,136.48624719122984,227.16409315871567,154.23175445967814,162.5245498531535,60.89961868806063,100.29562248871885,63.80090374770225,128.80962780018666,115.07318522018713,87.71776840441893,41.48369594114529,86.55003571914087,39.078713275155195,59.707562939695976,117.31106100312061,49.198981517722494,49.69672723758391,58.1360244339833
2020-01-29,79.83126235319844,218.68581801642358,95.92807135299361,340.66102855367205,32.41163887851812,42.80730301879699,88.21077870121448,101.67952236299699,82.20115169054058,84.2516520381241,191.51289234306867,77.2862079766269,75.74369278704333,124.67016917290411,51.28158466548126,136.5220945084518,227.03495448066047,156.23361342831393,163.0730125551199,61.36150621293889,100.38524472308283,63.6375528289248,129.12216739333286,115.15956848208575,88.24398483477765,41.62004460312145,86.62661109629171,39.132957709303305,60.213374303605896,117.48199680852609,49.121703484771366,49.443289044318824,58.31204441933037
2020-01-30,79.97195397772515,218.92818486436147,95.8775358707631,340.5947700665929,32.3540418503984,42.85136892881181,88.21526174311009,101.24971812242899,82.74085661989919,84.72286254052385,192.34499798542308,77.91615372491523,75.4676861435888,124.48164866217587,51.65129853334334,136.83382906935512,226.32673946944607,157.37796583129378,164.63507630113676,61.954665453791996,100.72656170784076,63.53409571666012,129.7023105856088,115.33894845597204,88.64460181243109,41.68385563947925,86.84310575002868,39.069094609200754,60.78125745679257,117.86564836484685,49.002472341219985,49.045239593654465,58.29773583727579
2020-01-31,79.87222358955599,218.8877524774845,97.69407512135469,339.86128612551556,32.260821225709435,43.090342349882356,88.18359590844948,100.94942254367845,83.18846249635334,84.74717389522112,192.60687373362003,78.29411918696559,75.26629755137927,124.16518271487843,51.86096814995638,136.6968644845418,227.78881770408873,158.48603391068852,165.47696017908228,62.302057604509116,101.28552988965478,63.61600270219219,129.93081946042406,115.35577928622503,88.568703828528,41.83700765207837,87.18020891521093,38.97882745828236,61.13299206668301,118.86525686037614,48.92731668980147,48.631838916433324,58.382165733353105
2020-02-03,79.6382654013774,218.9355363150301,98.92204420485648,339.17641760400807,32.236317744320516,43.29650833912855,88.03206844014466,100.59790665206123,83.55844062145235,84.66414258973009,193.666265270461,78.45546840664773,75.14446909580752,123.98757029465975,52.035039976861945,136.4820740400192,228.4227307614343,159.49348775625683,166.98368207154252,62.53724676801313,101.29278068702521,63.515096135178894,130.15165793550295,115.31653277853098,88.50478143210184,42.00027324989365,87.3091902985314,38.74108453122063,61.43503836122161,119.49738863822976,49.01636650389159,48.18159008727924,58.57667563517156
