Date,AAPL_bl,AMT_bl,AMZN_bl,BA_bl,BAC_bl,BHP_bl,COR_bl,CVX_bl,DUK_bl,DVA_bl,ECL_bl,GE_bl,GOOGL_bl,JPM_bl,KO_bl,LLY_bl,META_bl,MMM_bl,MSFT_bl,NEE_bl,NKE_bl,NVDA_bl,PEP_bl,PG_bl,PLD_bl,RIO_bl,SBUX_bl,SLB_bl,SO_bl,SPG_bl,VZ_bl,WFC_bl,XOM_bl
2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,34.02511485327459,137.38071865307487,67.6286372661171,284.23409932042034,20.169480160388034,31.33506415943429,65.6481549317715,81.69406255564422,66.46323349963257,47.94819549158173,131.9144907853511,38.15602984481809,49.593846530720164,79.591946077335,38.98189260528322,97.42399839867686,123.97541580192038,146.0952410553996,91.28338753821923,37.06441511908968,63.91467373548365,30.799412966343684,91.15996586565807,77.29515210495889,48.34913031955671,27.48414786788314,54.89732973430679,29.399210087403308,34.376103910796374,118.72853301918023,40.70786789413743,37.90842186799522,50.403124650288376
2019-01-15,34.12528595947345,137.74785619039397,67.39734238427684,283.81330757718473,20.12105883365687,31.49961173125601,65.85968724578802,81.76991242288645,66.85739036848122,48.10902159784707,132.3705627939551,38.635014471675404,49.54491335346617,79.48815621436334,39.17998869992263,97.40297436065025,123.49260207217797,146.22073121250835,91.38848715399038,37.274183466264596,63.825624628625526,30.723817020753657,91.45629001950509,77.94060935124794,48.475809825397654,27.60356110575307,54.973256383955146,29.300070792224084,34.43762354090453,119.79807140399377,40.63516580059672,37.91468786037182,50.711906940915256
2019-01-16,34.24209317000716,137.56764803087194,67.30377991882224,284.13157635388643,19.811563360897154,31.58962578303471,65.83563884186756,81.79192375775266,66.92142800073213,48.04379414678541,132.33287167930183,39.06963551303926,49.624161270979194,79.35783047931855,39.20524999292957,97.90256694321813,123.14882030954996,146.20660226121151,91.26921483662176,37.28547932778413,64.15816481713325,30.653270993542844,91.63417373170283,77.96016471243487,48.35089026670126,27.690393166741384,54.98677725255532,29.257251063256394,34.380358724459924,119.92027311269752,40.66480057091818,37.83539651373545,50.873411503627665
2019-01-17,34.51131057617899,137.35969774045734,67.15441628950157,283.13692139190374,19.548595862576132,31.6282729868205,65.83988007464247,81.80809807122348,66.99107423871897,47.94002079012015,132.05997098759207,39.428294850616325,49.59391501943417,79.26299986439231,39.268068112368134,98.75701589217728,122.82997577644294,146.335060946642,91.11425277064335,37.29494379919221,64.25625847104537,30.54818507371102,91.78643056274625,77.97057325543342,48.23086012532218,27.698940871756022,55.028846359206014,29.28733357998161,34.309878667218456,120.03800778059369,40.72795162238365,37.76397356694858,50.86801297014463
2019-01-18,34.59733473704859,137.15948411131117,67.31604814987651,282.7082543918782,19.393796929943534,31.707230314464006,65.4421227640979,81.85633441570421,67.03845338309243,47.812612382134034,131.60241062770413,39.61311004648482,49.60230824792229,79.17385576238635,39.29144275911124,99.37679194358614,122.88984919121772,146.11716680575773,90.78977340964359,37.273956971933394,64.73571768075676,30.31500608833903,91.78540586594815,77.9653629325555,48.02594679888999,27.79694286771166,54.99880544216988,29.026881599307288,34.24968796991155,119.95139828588486,40.77964147508099,37.72884455068669,50.802429844744935
2019-01-22,34.60151992907191,137.00279243074482,67.94024883068978,284.3642647239534,19.378501036933535,31.864502335779775,65.36438015452535,82.4222613534145,67.25902172939234,47.98431847739837,131.55988086068405,40.163339907909744,49.81743516630923,79.42224953869004,39.281229544338366,100.04811155402905,123.32596045762011,146.30053096372563,90.78961974352138,37.226268114413415,65.78845015500721,30.423716675583275,91.79603816707647,77.97605979375106,47.88409194376925,27.91842350953974,55.04966200012741,29.17120237183991,34.229225938994276,120.00343121639611,40.92072830986888,37.731587241223444,50.939842907388666
2019-01-23,34.649741359069026,137.0881633710231,69.56632338182455,288.07194063056966,19.567300806753142,31.995017263487647,65.64820707767383,83.23372906609472,67.4582287784713,48.46024862895089,131.7963978246272,41.1380184807454,50.466190087465804,80.15644605529125,39.21068960374416,100.72406753633801,125.69631144417365,147.02128970660192,91.17608958487925,37.12189427706056,65.97333041078276,30.772436173539134,91.7524166596726,77.55624135667557,47.88162712326148,28.049495215581537,55.16284156021609,29.54744968714165,34.18891831445371,120.38411608264306,41.08585687217855,37.89186195045045,51.166080367695486
2019-01-24,34.84117125390109,138.2849581581847,72.10034024823382,295.4083022429202,19.950634189684646,32.314886843428084,66.40565284136495,85.35950627932597,67.57715728849533,49.3432567381268,133.6313214971245,42.66306096578891,51.43587914017175,81.62358722209007,39.42365031316324,102.53595013677817,128.80283624814123,149.45338596467138,92.88869474169974,37.20788608413545,67.37666533687826,31.157611993784755,92.27268228428238,78.14689273229915,48.43013883069272,28.243045906575134,55.785261495190085,30.107039309234388,34.41059977076272,121.67973951502458,41.700421640913355,38.49668183605342,52.0143267379129
2019-01-25,34.832221593967176,138.39400519147685,73.10246955490415,298.5232303397722,20.107280989277136,32.32030338884611,66.67584452997824,85.90424495562438,67.59142043642352,49.81528747163912,134.2894397907386,43.574698981742124,51.53751361171075,82.29150164899856,39.4544583479127,103.21388045446496,129.60106294588252,149.87327627234757,93.0840631724839,37.307466267110804,67.70312834020766,31.283765015720384,92.35317144418734,78.27060906750307,48.62399849076091,28.216292876279848,55.60592454679755,30.390553298556227,34.6158710578547,121.83875992372697,42.055544357117164,38.72373141883041,52.2626809743132
2019-01-28,34.831171116724306,138.41719224487926,74.42659607971223,301.75738183820204,20.288306142966793,32.37912654411642,66.90281662507122,86.15152786359378,67.59311393449701,50.43811079883197,134.59100940438657,44.98049324470522,51.65771052410576,82.82131502695682,39.443919496937454,103.52668573210231,130.58580333421205,149.93542548896252,93.34582183784876,37.31572937709524,68.03109879029994,31.569994010702054,92.3197112302288,78.2246867543587,48.85308305787798,28.257104463226327,55.54807539882586,30.90153303815787,34.81533012589288,121.90253645600426,42.143840576690664,39.04900575341605,52.483421183153546
2019-01-29,34.834864678883214,138.38797563639278,75.58527670774012,305.7484627252744,20.548890692546788,32.388661636525,67.18911993894933,86.55404094774956,67.60150227535999,51.25386466584359,135.13854837708692,46.2299794484442,51.81970285578547,83.51403766485221,39.4518074821536,103.67643703325719,132.0099100542306,149.89984439013142,93.67888182043889,37.31892545293159,68.51429217406631,31.470827810452572,92.31661196943371,78.27603068005621,49.03931078233631,28.19567953230139,55.51485531336386,31.482112312101464,35.048680202991,121.94747493605986,41.817268143181344,39.38524640484198,52.907506196395865
