Date,Mkt-RF,SMB,HML,RF
2019-05-30,0.14,-0.28,-0.76,0.009
2019-05-31,-1.37,-0.22,-0.1,0.009
2019-06-03,-0.4,0.35,1.66,0.009
2019-06-04,2.33,0.42,-0.03,0.009
2019-06-05,0.7,-0.98,-0.97,0.009
2019-06-06,0.55,-1.04,0.01,0.009
2019-06-07,1.04,0.05,-1.2,0.009
2019-06-10,0.53,-0.04,0.08,0.009
2019-06-11,-0.12,-0.25,0.55,0.009
2019-06-12,-0.2,0.41,-0.99,0.009
2019-06-13,0.52,0.67,-0.04,0.009
2019-06-14,-0.27,-0.79,0.32,0.009
2019-06-17,0.15,0.63,-1.12,0.009
2019-06-18,1.04,0.16,0.33,0.009
2019-06-19,0.32,0.11,-0.6,0.009
2019-06-20,0.89,-0.36,-0.23,0.009
2019-06-21,-0.21,-0.47,-0.03,0.009
2019-06-24,-0.34,-0.9,0.08,0.009
2019-06-25,-0.98,0.34,0.71,0.009
2019-06-26,-0.06,-0.05,0.25,0.009
2019-06-27,0.6,1.42,-0.09,0.009
2019-06-28,0.68,0.64,0.61,0.009
2019-07-01,0.75,-0.54,-0.13,0.009
2019-07-02,0.14,-0.79,-0.81,0.009
2019-07-03,0.78,-0.04,-0.33,0.009
2019-07-05,-0.1,0.16,0.91,0.009
2019-07-08,-0.58,-0.45,0.05,0.009
2019-07-09,0.18,-0.15,-0.43,0.009
2019-07-10,0.4,-0.15,-0.36,0.009
2019-07-11,0.19,-0.79,0.04,0.009
2019-07-12,0.53,0.18,0.41,0.009
2019-07-15,-0.04,-0.35,-1.07,0.009
2019-07-16,-0.32,0.35,0.1,0.009
2019-07-17,-0.64,-0.15,-0.65,0.009
2019-07-18,0.35,-0.29,0.02,0.009
2019-07-19,-0.56,0.15,0.86,0.009
2019-07-22,0.25,-0.45,-0.49,0.009
2019-07-23,0.65,-0.23,0.81,0.009
2019-07-24,0.66,0.75,0.86,0.009
2019-07-25,-0.63,-0.66,-0.12,0.009
2019-07-26,0.82,0.39,-0.19,0.009
2019-07-29,-0.32,-0.34,-0.46,0.009
2019-07-30,-0.17,1.37,0.89,0.009
2019-07-31,-1.09,0.12,0.61,0.009
2019-08-01,-1.04,-0.42,-1.9,0.007
2019-08-02,-0.87,-0.32,0.06,0.007
2019-08-05,-3.07,-0.01,0.0,0.007
2019-08-06,1.29,-0.42,-0.59,0.007
2019-08-07,0.07,0.08,-0.9,0.007
