Date,AAPL_macd,AMT_macd,AMZN_macd,BA_macd,BAC_macd,BHP_macd,COR_macd,CVX_macd,DUK_macd,DVA_macd,ECL_macd,GE_macd,GOOGL_macd,JPM_macd,KO_macd,LLY_macd,META_macd,MMM_macd,MSFT_macd,NEE_macd,NKE_macd,NVDA_macd,PEP_macd,PG_macd,PLD_macd,RIO_macd,SBUX_macd,SLB_macd,SO_macd,SPG_macd,VZ_macd,WFC_macd,XOM_macd
2018-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-17,-0.029439507726252145,-0.400101968705485,-0.28319051802330364,-0.20308674434647855,-0.0007012739480423136,0.04548055969412346,-0.14539634943686508,-0.08739495345329829,-0.17078706138154587,-0.10529912095464056,-0.3294834234775692,0.023455323656740745,-0.10394282762141671,-0.08720141462450215,-0.06837793768641376,-0.26226945752092945,-0.30839012558982404,-0.21048017105144368,-0.23742041085179721,-0.09869171751191175,-0.1986517838263353,-0.05678903954660086,-0.07422274945467677,-0.27030801365516766,-0.19629827863470695,0.023001755065049423,-0.062442442630434414,-0.0034474864644593595,-0.0853354081808746,-0.454326923076934,-0.06884809097333289,0.00479039031895212,-0.094248845027046
2018-12-18,-0.01145053412422925,-0.6121689403702817,-0.37990490065644167,0.5648596534924764,-0.0012427133780086308,0.1041570107306633,-0.3137479336497364,-0.32649534161075167,-0.3302561847055898,-0.31582912628649495,-0.6328751848755587,0.10254951988748928,-0.11335733649186608,-0.18654758408997907,-0.12184793751871581,-0.6014075083742085,-0.2699760405862719,-0.26133157326015066,-0.3390685198902048,-0.16871065615102054,-0.25760968137615237,-0.03415046889005424,-0.2023133294233901,-0.4985657399654997,-0.2703143902166971,0.06999276352600958,-0.07835482807134753,-0.08951502274148027,-0.18137760413001303,-0.8039204072670145,-0.14028338226568593,0.0023307064916906484,-0.2918651446213616
2018-12-19,-0.09625196438736339,-0.7550822968546811,-0.6763061173987808,0.5004414190138391,-0.021992287180765402,0.13359879361365756,-0.4369041177891262,-0.6310669461388301,-0.47904188292135075,-0.6127876913104799,-0.9817381941693952,0.3465562718715418,-0.15115118768891733,-0.34741347970920344,-0.1907861909483799,-0.6685174988477911,-1.0671465392195216,-0.5933714224018445,-0.4360133061252469,-0.2477757381243464,-0.465526809740183,-0.18283033948173255,-0.424067199982602,-0.7227056150381088,-0.42162674492634267,0.08205112234651679,-0.15165375250149538,-0.15937239956512173,-0.27059795311271984,-1.2490868705798732,-0.18185736360574367,-0.057790504221962635,-0.5180309292055512
2018-12-20,-0.23921101231117348,-0.9291381030838011,-1.0374319090203272,-0.059577828119017795,-0.04290828197261476,0.13486851030260993,-0.7564755979551308,-1.0429905582897305,-0.531724674179344,-1.0107718803244197,-1.372803304662341,0.4304326894010515,-0.22642368648509148,-0.5267143001705108,-0.26699594440854924,-0.7002535734896753,-1.6667998878842525,-1.0123117885769943,-0.6718313895083838,-0.30001090337577807,-0.731888517735797,-0.36470833312740325,-0.5812909926295617,-0.9445583895363256,-0.596844978653138,0.11308627583995445,-0.3444400932140894,-0.32188687453735554,-0.349607014646125,-1.8131579363601418,-0.26049016847974116,-0.07891532276961755,-0.8209040042586508
2018-12-21,-0.4651037520528618,-1.3051614150047612,-1.6411123340094065,-1.1565274313971372,-0.1107071366969059,0.1524094391259716,-1.0897514393444965,-1.4026024994927013,-0.5971182754770012,-1.4227451201595827,-1.7954924413892286,0.35501197286716035,-0.411769174658275,-0.8165180083769741,-0.3216305071007568,-0.7075881803388029,-2.7909782138814307,-1.561940647609532,-1.0969377427548608,-0.3516419498545176,-0.566656223434137,-0.6124718924699337,-0.7521413555813297,-1.108308546412772,-0.8321083255912924,0.13707124735107,-0.5461061027122298,-0.48000856111525536,-0.4075245755096617,-2.423143109766471,-0.32826744579684686,-0.15752350695029094,-1.0800544804608734
2018-12-24,-0.7113424020674728,-1.8973388599753207,-2.228957501713367,-2.8081557921190097,-0.2074522008368902,0.11674284199834872,-1.4284879804204706,-1.8722898681849358,-0.8829588959393675,-1.816254136531363,-2.5631002635223012,0.18383076608406412,-0.5785352498373726,-1.1725640298408564,-0.4697695449698003,-0.9014225872010115,-3.7108609320270034,-2.303951727311926,-1.727505378972495,-0.4945460540929929,-0.7532694734771752,-0.8488786867485558,-1.1104015613960598,-1.47612136948608,-1.211629749929024,0.13561154835595346,-0.7574547228042974,-0.6335781839673942,-0.5810719269049045,-3.1230819512284143,-0.4915640007278341,-0.32133214140656463,-1.4305180320644837
2018-12-26,-0.6984866463729418,-1.9992082218800533,-2.1578053299007394,-2.5377073531020073,-0.1840969024210679,0.20089566726331398,-1.5093236492939752,-1.8136271744684507,-1.01081240345259,-1.9371372097041615,-2.763589181995428,0.26840682938813387,-0.45059940529748843,-1.1779127436941224,-0.5141314845111964,-0.7241763496242868,-3.582839794880357,-2.3687914674771093,-1.7156696447883917,-0.5609717643710752,-0.520025517727845,-0.905305421553237,-1.2203691600037132,-1.556791129568964,-1.3533580537924124,0.21582510998069182,-0.7335402513119078,-0.6487952592145447,-0.6706409433459228,-3.2809322800418954,-0.5292116622545677,-0.30983233723846126,-1.4972386563056048
2018-12-27,-0.699954765552171,-1.9801839439674893,-2.1144032206545234,-2.0480750393292624,-0.14546460773926384,0.24535905191905272,-1.5192911867629988,-1.6247687504144608,-1.053876994607279,-2.0209385749288273,-2.7331020850085395,0.2752410455318852,-0.3250873927119855,-1.0951040302329034,-0.5030863007290947,-0.4448167406953729,-3.4146140322147573,-2.1076835586555376,-1.6399658433969933,-0.5744889360609093,-0.2815068462990524,-0.9773867586768503,-1.2177107223048864,-1.4674462346054185,-1.4468798018659896,0.2383538702069039,-0.6978322353846664,-0.6726241159627122,-0.7132824832844022,-3.3275805741870244,-0.5094169070137653,-0.30139767168450504,-1.5140894738638977
2018-12-28,-0.6915985609474973,-1.926364130614246,-1.990969603101064,-1.7000337985675742,-0.11213718047871524,0.2757553639833432,-1.4780499350666645,-1.500718732148286,-1.0653342914189778,-2.088293730453671,-2.7180312281606405,0.39020098788014934,-0.2478562532231834,-1.0320498141301613,-0.5110404433549931,-0.1246374114233646,-3.3490879854215905,-1.9644371867371433,-1.62169879510202,-0.5686461260809139,-0.11634970273937029,-0.9736502949055605,-1.137149663709593,-1.4393951175440094,-1.4694341828730373,0.24849626085091714,-0.6482667900575763,-0.6650169928123475,-0.7385625218882339,-3.2806562302350386,-0.48079221938317573,-0.27424617774360627,-1.5571613708142138
