Date,AAPL_macds,AMT_macds,AMZN_macds,BA_macds,BAC_macds,BHP_macds,COR_macds,CVX_macds,DUK_macds,DVA_macds,ECL_macds,GE_macds,GOOGL_macds,JPM_macds,KO_macds,LLY_macds,META_macds,MMM_macds,MSFT_macds,NEE_macds,NKE_macds,NVDA_macds,PEP_macds,PG_macds,PLD_macds,RIO_macds,SBUX_macds,SLB_macds,SO_macds,SPG_macds,VZ_macds,WFC_macds,XOM_macds
2018-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-17,-0.005887901545250429,-0.080020393741097,-0.05663810360466073,-0.040617348869295716,-0.0001402547896084627,0.009096111938824692,-0.029079269887373017,-0.017478990690659658,-0.034157412276309175,-0.02105982419092811,-0.06589668469551384,0.00469106473134815,-0.020788565524283344,-0.017440282924900432,-0.013675587537282752,-0.05245389150418589,-0.06167802511796481,-0.042096034210288735,-0.047484082170359446,-0.01973834350238235,-0.039730356765267066,-0.011357807909320172,-0.014844549890935355,-0.05406160273103353,-0.03925965572694139,0.004600351013009885,-0.012488488526086883,-0.000689497292891872,-0.01706708163617492,-0.0908653846153868,-0.013769618194666579,0.0009580780637904241,-0.018849769005409203
2018-12-18,-0.007000428061046194,-0.18645010306693394,-0.12129146301501693,0.08047805160305871,-0.00036074650728849637,0.028108291697192415,-0.0860130026398457,-0.07928226087467806,-0.0933771667621653,-0.08001368461004149,-0.1792923847315228,0.024262755762576377,-0.03930231971779989,-0.051261743157916165,-0.03531005753356937,-0.16224461487819042,-0.10333762821162623,-0.08594314202026113,-0.10580096971432854,-0.04953280603210999,-0.08330622168744413,-0.015916340105466987,-0.05233830579742631,-0.14296243017792676,-0.08547060262489253,0.017678833515609824,-0.025661756435139012,-0.018454602382609552,-0.049929186134942544,-0.23347638914571237,-0.039072371008870455,0.001232603749370469,-0.07345284412859968
2018-12-19,-0.024850735326309634,-0.3001765418244834,-0.2322943938917697,0.1644707250852148,-0.004687054641983877,0.049206392080485446,-0.15619122566970178,-0.18963919792750844,-0.1705101099940024,-0.1865684859501292,-0.3397815466190973,0.08872145898436946,-0.06167209331202338,-0.11049209046817363,-0.06640528421653147,-0.26349919167211056,-0.2960994104132053,-0.1874287980965778,-0.17184343699651222,-0.08918139245055728,-0.15975033929799193,-0.0492991399807201,-0.12668408463446146,-0.25891106714996315,-0.15270183108518257,0.03055329128179122,-0.05086015564841029,-0.04663816181911199,-0.094062939530498,-0.43659848543254454,-0.0676293695282451,-0.010572017844896153,-0.16236846114398998
2018-12-20,-0.06772279072328241,-0.42596885407634694,-0.3933218969174812,0.11966101444436827,-0.012331300108110054,0.06633881572491035,-0.2762481001267876,-0.3603094699999529,-0.24275302283107075,-0.3514091648249873,-0.5463858982277461,0.1570637050677059,-0.09462241194663701,-0.19373653240864108,-0.10652341625493503,-0.3508500680356235,-0.5702395059074148,-0.35240539619266115,-0.27184102749888656,-0.13134729463560146,-0.27417797498555296,-0.11238097861005675,-0.21760546623348154,-0.3960405316272357,-0.24153046059877364,0.04705988819342387,-0.10957614316154612,-0.1016879043627607,-0.1451717545536234,-0.711910375618064,-0.10620152931854432,-0.024240678829840434,-0.2940755697669222
2018-12-21,-0.1471989829891983,-0.6018073662620298,-0.6428799843358664,-0.13557667472393284,-0.032006467425869226,0.0835529404051226,-0.4389487679703294,-0.5687680758985025,-0.3136260733602569,-0.5656763558919065,-0.7962072068600426,0.1966533586275968,-0.15805176448896463,-0.3182928276023077,-0.14954483442409938,-0.4221976904962594,-1.014387247502218,-0.5943124464760354,-0.4368603705500814,-0.1754062256793847,-0.3326736246752698,-0.21239916138203216,-0.3245126441030512,-0.538494134584343,-0.3596460335972774,0.0650621600249531,-0.1968821350716829,-0.17735203571325964,-0.19764231874483107,-1.0541569224477456,-0.15061471261420484,-0.05089724445393054,-0.45127135190571244
2018-12-24,-0.26002766680485323,-0.860913665004688,-0.9600954878113666,-0.6700924982029483,-0.06709561410807342,0.09019092072376782,-0.6368566104603577,-0.8294724343557892,-0.427492637876079,-0.8157919120197978,-1.1495858181924945,0.19408884011889027,-0.24214846155864622,-0.4891470680500175,-0.21358977653323957,-0.5180426698372098,-1.5536819844071752,-0.9362403026432136,-0.6949893722345641,-0.23923419136210633,-0.41679279443565087,-0.3396950664553369,-0.481690427561653,-0.7260195815646904,-0.5300427768636268,0.07917203769115318,-0.3089966526182058,-0.26859726536408657,-0.2743282403768458,-1.4679419282038795,-0.2188045702369307,-0.10498422384445737,-0.6471206879374667
2018-12-26,-0.347719462718471,-1.0885725763797611,-1.1996374562292411,-1.0436154691827602,-0.09049587177067232,0.11233187003167706,-0.8113500182270813,-1.0263033823783214,-0.5441565909913813,-1.0400609715566707,-1.4723864909530813,0.20895243797273902,-0.2838386503064147,-0.6269002031788385,-0.27369811812883094,-0.5592694057946253,-1.9595135465018116,-1.2227505356099928,-0.8991254267453297,-0.3035817059639001,-0.4374393390940897,-0.4528171374749169,-0.6294261740500651,-0.8921738911655451,-0.694705832249384,0.1065026521490609,-0.3939053723569462,-0.3446368641341782,-0.3535907809706612,-1.8305399985714828,-0.2808859886404581,-0.14595384652325816,-0.8171442816110943
2018-12-27,-0.418166523285211,-1.266894849897307,-1.3825906091142977,-1.2445073832120608,-0.10148961896439063,0.1389373064091522,-0.9529382519342648,-1.1459964559855493,-0.6461006717145608,-1.236236492231102,-1.724529609764173,0.2222101594845683,-0.29208839878752885,-0.7205409685896516,-0.3195757546488837,-0.5363788727747748,-2.250533643644401,-1.3997371402191017,-1.0472935100756624,-0.35776315198330194,-0.4062528405350823,-0.5577310617153036,-0.7470830837010294,-1.0072283598535199,-0.8451406261727052,0.13287289576062952,-0.4546907449624903,-0.410234314499885,-0.42552912143340943,-2.1299481136945912,-0.32659217231511956,-0.17704261155550755,-0.956533320061655
2018-12-28,-0.47285293081766827,-1.398788706040695,-1.504266407911651,-1.3356126662831636,-0.10361913126725555,0.1663009179239904,-1.0579605885607448,-1.2169409112180967,-0.7299473956554442,-1.4066479398756158,-1.9232299334434666,0.2558083251636845,-0.28324196967465975,-0.7828427376977536,-0.3578686923901056,-0.45403058050449274,-2.470244511999839,-1.51267714952271,-1.162174567080934,-0.39993974680282435,-0.34827221297593997,-0.640914908353355,-0.8250963997027421,-1.0936617113916178,-0.9699993375127717,0.15599756877868706,-0.49340595398150755,-0.46119085016237754,-0.4881358015243744,-2.360089737002681,-0.3574321817287308,-0.1964833247931273,-1.076658930212167
2018-12-31,-0.5079429046738742,-1.5005776989753068,-1.558622327260611,-1.2552079488534862,-0.0963380851556811,0.19638114167191223,-1.1256525077240855,-1.249064621203727,-0.7940803327422491,-1.5313813649855594,-2.0286971678816266,0.3054482691702703,-0.26487022274451333,-0.8096878104788868,-0.3865535306041789,-0.31536391558283794,-2.6617406279664424,-1.5610903462300267,-1.2296764733630159,-0.42758525703188793,-0.2636579801600514,-0.7052508121300713,-0.8706420251976495,-1.144794837897896,-1.066857734496448,0.1781078663563538,-0.5006357364081789,-0.5064171588613628,-0.5408841410599883,-2.530674396395278,-0.3649466559049372,-0.20305044162231886,-1.1757147062133826
2019-01-02,-0.5270646935799838,-1.5953542168833459,-1.5347383973156128,-1.048349486708393,-0.07883206237852969,0.22142721092220097,-1.1630943286899438,-1.228259872541686,-0.8612313810055909,-1.6131479307362637,-2.1022179949887194,0.4069415451900583,-0.23313372853152192,-0.7880303558099959,-0.4125183346484665,-0.16029052134772884,-2.7462938003366766,-1.5577013813109566,-1.2679460663902675,-0.4577879021500196,-0.167393955787219,-0.7420292022941811,-0.907959718718788,-1.1774534070770202,-1.1622687522096398,0.18718735186757648,-0.4877594074133549,-0.529086456071519,-0.5860218612773036,-2.684476587964853,-0.35905249579284226,-0.18897156421040115,-1.2353318191492821
2019-01-03,-0.5941169894906565,-1.6637687617782508,-1.490560710583164,-0.9708282749732606,-0.06126610380142132,0.225390480290453,-1.1929042850337908,-1.1994239924044403,-0.9251761635425818,-1.67198648448288,-2.198037628961634,0.5356271140524513,-0.21745425655708753,-0.7545420300709185,-0.43840383397355026,-0.055151711030211145,-2.8159191652506506,-1.6107470689989958,-1.3392521502706143,-0.48844977429559244,-0.08828226840661288,-0.7904854912831221,-0.9501140176951215,-1.2030770876488641,-1.255548699042173,0.1804878877463685,-0.5018936449160419,-0.5297088024566544,-0.6147315691108298,-2.815236075945604,-0.3418076241120877,-0.16732322945452696,-1.2773856012094058
2019-01-04,-0.6631337450411041,-1.6993253196184814,-1.372665046445624,-0.7253886490880657,-0.030135841257071264,0.24643228051638838,-1.2011021420860062,-1.135833717557554,-0.9726616003746225,-1.6613766513893262,-2.220444309346651,0.6893613948413506,-0.1702052056371293,-0.6644994165617416,-0.44929083281726284,0.0625250142797469,-2.767148281668468,-1.5956883977996534,-1.3559705976487866,-0.5056619352488698,0.004835618025031629,-0.8094683505781213,-0.9604109807229837,-1.194362868287723,-1.3197622828508404,0.18875713637069275,-0.5017892655548384,-0.49473162735885207,-0.625490439111179,-2.888584954516186,-0.3158673609616487,-0.12279702823486993,-1.2723475272602793
2019-01-07,-0.7295142341689751,-1.6946191875278491,-1.1684434164280804,-0.36994600875203076,0.00765238837251115,0.27936313913654165,-1.1847636685185354,-1.0329652608167075,-1.0097475024230853,-1.59810436953343,-2.1841175763490335,0.8970811124492641,-0.10697296597214571,-0.5412539605484447,-0.4575774044048638,0.1908587824143302,-2.6388248480243695,-1.5407424459892283,-1.3325418131700886,-0.5132721355746608,0.11800331739332083,-0.7786048010191275,-0.9610691694161748,-1.167029154755105,-1.3462503758469366,0.20976179710249698,-0.4916221894920577,-0.4232583511200981,-0.6242917754193531,-2.894698284366768,-0.2807300814872717,-0.07022838108897754,-1.230628609330294
2019-01-08,-0.7783177559567103,-1.6354720198701733,-0.8965625519797678,0.229200254084725,0.046913974764629454,0.31573901214274347,-1.1393929517628412,-0.9147230737623473,-1.0223297365693895,-1.5064445494750596,-2.0809116805438768,1.1087926955919984,-0.029255239605294067,-0.4050341969769726,-0.45558037590129025,0.33428385932989146,-2.3899519241233573,-1.4498975610463878,-1.2709498819331602,-0.5088462640908867,0.25279425774257375,-0.7304698387018005,-0.9390288327638625,-1.1220487160910857,-1.3172521388229324,0.2430158512658535,-0.4738426199529973,-0.3247992387944628,-0.597941001626974,-2.803952014090731,-0.22080243157222515,-0.016583203477712596,-1.158936161670235
2019-01-09,-0.8019841178881708,-1.561620309952987,-0.5922176871320473,1.000324089378951,0.08844083601922571,0.35460652919137986,-1.064241046759552,-0.7719589937196202,-1.0328716450888948,-1.4005971071639411,-1.939169768947948,1.303743898310814,0.05056676165240416,-0.2692352241051754,-0.45852578158345547,0.4916702097703177,-2.0460263292867795,-1.3300518170792686,-1.1635400856861602,-0.4985968593520885,0.39138128625111657,-0.6614848860469775,-0.944248324329569,-1.086901887974241,-1.2462656732128004,0.28682590229496974,-0.4474116036068925,-0.205988991794242,-0.560848577951729,-2.6480230187311307,-0.15692626417871847,0.03852090847029012,-1.0649224114277116
2019-01-10,-0.8049529279400599,-1.4478737008065892,-0.2846822575647694,1.9726516149501676,0.1285881603387189,0.39196150691861,-0.9766601575464906,-0.6172698031680186,-1.0333213834071233,-1.2684300892339464,-1.7624120971063402,1.5163379008022013,0.12515847441341565,-0.14034270617377304,-0.4565993258912783,0.6297759614009282,-1.6563675280153327,-1.1785961739401183,-1.0405235005194005,-0.4749177074774688,0.5216224073758458,-0.5710529623831517,-0.9550569941398561,-1.0542109983425418,-1.13489312178219,0.3319058709208186,-0.41147403334458044,-0.07452960088129083,-0.5067820378965265,-2.4542051428159684,-0.08679391517908365,0.0908784999813782,-0.9639481531677796
