Date,AAPL_rsi,AMT_rsi,AMZN_rsi,BA_rsi,BAC_rsi,BHP_rsi,COR_rsi,CVX_rsi,DUK_rsi,DVA_rsi,ECL_rsi,GE_rsi,GOOGL_rsi,JPM_rsi,KO_rsi,LLY_rsi,META_rsi,MMM_rsi,MSFT_rsi,NEE_rsi,NKE_rsi,NVDA_rsi,PEP_rsi,PG_rsi,PLD_rsi,RIO_rsi,SBUX_rsi,SLB_rsi,SO_rsi,SPG_rsi,VZ_rsi,WFC_rsi,XOM_rsi
2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,35.11417777034109,35.744935668180815,48.702772172213486,53.8312798705953,60.18524916559135,64.35267851909968,32.999356601913675,44.67256947846249,29.895446488410414,38.14858558202126,40.22898637188514,69.92747287198185,54.876788077525894,52.932759917585116,37.58778466186042,54.91895041851784,44.53391364950088,45.28596821980869,43.54940143837152,34.396483366640396,53.98499656947606,40.809715394527416,39.883402097522946,38.87395367873381,31.349493705946173,63.12569303432196,43.86695907721437,49.94675136405647,29.72121721152604,28.3077339219124,45.588228093240986,57.807294572677584,38.576622859755574
2019-01-07,34.914957865456785,38.08912681882196,52.721254310765616,54.2646139228461,59.96307252889937,65.2013959963638,35.44821169711767,47.35605984344842,29.112125096412157,39.46912538884375,40.905527019326016,74.47884587140584,54.44367954131205,53.09218398198778,34.58072875282885,55.904172235575274,44.63298314650883,44.89634984080071,43.779369457655896,34.091084367437034,55.76432848364344,47.5804824322224,37.79008465914457,38.11779743129858,34.952576318610866,64.71168448564669,43.86695907721437,55.100019022384124,29.268119871308244,31.719746108937244,47.88732064105818,55.888654429941,39.726735419816286
2019-01-08,38.906672171674856,52.236637537799005,60.48568313135847,60.20577354506029,59.523769791604586,61.425735808535215,44.5611903588014,48.819396060404635,41.728378302469714,41.911766424586105,48.94106801401696,70.28417971135956,61.67318157659429,56.01936550328543,44.15411219974539,65.4292100333906,52.06714134236805,48.828651264906945,49.847526048769836,45.57283021051452,63.109383225764944,47.05786110766566,43.66359463943091,48.99935028224752,48.18288504661776,65.15448612606892,46.877337398089054,57.40397582961607,49.07690758568758,47.30051236603004,63.42531911171352,54.96262618113133,44.66383435317491
2019-01-09,39.34542454045234,46.225591201739824,58.716092802640134,57.10935400554844,61.295957740079,60.81344117804239,50.29989571800964,56.39718114409437,39.03009455034767,46.091632911060515,49.599258121572696,67.9300469393128,57.90866376104243,56.87972609008482,39.29012736225346,71.53193468161919,50.51978935409668,47.62314031647838,50.50172896271659,43.37609512780166,60.90615177397672,46.54626602314599,39.19523886616878,45.394798556636985,45.96575695543537,64.917425576256,46.12519580009971,66.50486498024306,49.688468227009665,47.645947283198154,60.51923308827363,56.708570224623514,51.22952096294742
2019-01-10,43.576771345819616,50.417503897957324,64.23498323285267,64.86777673102102,64.220089999184,62.41815410975365,48.8594950856835,60.86615440243871,42.47310966828827,56.18914525343588,53.222478084681946,68.39082535198473,59.16410988548974,60.7538525185099,44.969734942384704,64.51336238674557,62.33122425957281,54.11394548926825,49.851426160050515,51.71599524052354,66.24501145384605,55.859818799182506,45.02357136628117,48.18004429345489,53.520259012245766,66.5338855828901,50.50502488227616,68.10498415919491,57.54991240711201,52.289096960576614,61.90782728335988,61.89927659301667,53.9124981503273
2019-01-11,45.687741762242624,51.51767032589068,66.41640917573633,68.9816273389935,66.90137671267931,62.516360950750354,65.0995727802092,65.8026048408675,36.17846649930298,68.469141928766,55.912971178182254,73.00617129767346,58.5504503259826,61.96602116694496,48.77450251345965,64.60361408210912,61.63832979036911,55.609747500005504,52.23106832068135,51.582206416369964,69.45593745509743,61.93297449887257,44.5565392263281,52.46411710827787,56.55032822976743,64.35232574170021,56.91767474203629,80.24014923297844,60.704296762014444,57.72559462792115,68.7831165274328,60.777350548893956,60.72173774120006
2019-01-14,49.252482380477375,60.16455704470047,74.59682607863954,73.13400168435878,78.40891348971438,60.80928988442958,74.11092894928115,65.66536768420293,34.86786049250145,75.92904278838812,57.57090240911332,79.06980297699548,63.71166206509602,72.85205213562838,47.47590926746993,60.53687826906909,77.02273273437011,60.66904555084084,57.24031831825051,45.02763976412163,60.88994101152219,69.46473000120771,44.43858118503509,50.54082585910041,62.70070003357719,64.4260541390336,58.98364699925668,80.94688687698765,57.086159111296496,61.21744261112159,69.92334773966618,70.32015334063527,62.544644840497654
2019-01-15,56.49998325306411,78.27741496700885,82.33315286070996,82.08838165014848,89.62642640912614,68.39571374368138,84.94641770955437,76.31194401354405,55.606124365861646,84.77507485845038,72.53800434232495,80.67799282467804,70.51901461040009,83.82591305564625,61.290279875633246,70.93118766801442,80.73598679312441,63.73797084468596,71.55304512492677,62.56615240888713,83.49330831424709,72.04489746675213,58.62466700177221,66.73874640228648,81.2553374784628,67.62212032514186,66.1467877418213,86.3989916538786,80.85095317529748,73.60431888390542,87.58119269556099,77.68706544598281,76.97025771422848
2019-01-16,47.17938062465848,72.05350420388447,77.04818933738352,76.88621688332913,90.63659335212915,57.431534309946024,80.17015630365565,62.9604758428973,50.10246379288911,82.34702861251074,66.72656248864232,79.12090806453986,61.08094879197172,79.89894583682354,49.852828320418496,63.825706288465696,71.01950611551784,55.28565049872618,62.56511643424861,58.9669407360558,73.60977473686441,66.85224068650149,50.03220321369802,55.42389227092951,78.04624788663688,61.34352533546885,53.97003131333534,78.9275980912129,78.99454964539913,67.25765707432959,72.5763307703888,75.26391228031345,68.02890376189956
2019-01-17,49.63228986305285,71.09484178868658,79.41071711638806,78.06772425311303,91.10308896718028,63.21949722804621,66.36716521238387,59.36163498650847,48.30140415914475,79.09440305528442,67.00881878958582,83.75449389288931,62.00270163068653,78.76824355921708,46.29934524862856,64.78078804361624,71.39751321498863,51.787702294925225,62.79789820236162,57.17971225406433,75.56182763451837,71.5634780290519,49.3464600837661,46.645265724931186,79.05853917571545,71.28334871801492,55.94711784504238,82.06099602844512,78.57132929820781,66.72305027602866,66.94122954737327,76.96793966761179,68.74267815063743
2019-01-18,50.73186353816245,71.22082169685928,78.68524042122765,80.3668342917829,91.53965789947975,64.43551162181956,76.48125187370229,68.05547129242917,47.204266223083835,82.64925001352225,71.23679351034046,79.69345435321624,65.58355440266953,82.74544395643377,53.12017897030502,55.31822408302222,75.81237901061944,60.4441286022947,68.20893645615668,57.25354981313258,80.46266050504067,73.10439173833397,49.04669799895663,54.898948439680225,79.3755610010608,72.01542801408135,57.0354397406004,87.12320399945571,79.14430545833292,66.57251457088059,67.6299002116193,78.61975716044523,78.02328875629485
