Date,AAPL_ma50,AMT_ma50,AMZN_ma50,BA_ma50,BAC_ma50,BHP_ma50,COR_ma50,CVX_ma50,DUK_ma50,DVA_ma50,ECL_ma50,GE_ma50,GOOGL_ma50,JPM_ma50,KO_ma50,LLY_ma50,META_ma50,MMM_ma50,MSFT_ma50,NEE_ma50,NKE_ma50,NVDA_ma50,PEP_ma50,PG_ma50,PLD_ma50,RIO_ma50,SBUX_ma50,SLB_ma50,SO_ma50,SPG_ma50,VZ_ma50,WFC_ma50,XOM_ma50
2020-04-24,66.81865608215332,212.81489471435546,101.04621978759765,196.43499877929688,22.383216896057128,30.739921493530275,82.52202789306641,70.66573509216309,74.63723472595215,76.19819961547852,168.5776661682129,52.28051895141601,62.64089012145996,91.08116470336914,43.573556137084964,132.55932495117187,176.9820199584961,120.99338027954101,157.01655548095704,55.2166414642334,82.03734954833985,65.25424575805664,116.44895111083984,105.42061477661133,75.25614181518554,32.244194145202634,67.12743209838867,18.316215572357176,49.731884765625,66.81738441467286,44.94565567016602,30.400685539245604,36.14036327362061
2020-04-27,66.61530632019043,212.7126956176758,101.27234985351562,192.15219848632813,22.180169525146486,30.568639869689942,82.45117538452149,70.32038078308105,74.4106307220459,76.05239959716796,168.21383834838866,51.48071311950684,62.398360061645505,90.33174362182618,43.356067504882816,132.92831298828125,176.46976348876953,120.89084915161133,156.83986877441407,55.077929458618165,81.77416717529297,65.38611297607422,116.2519856262207,105.2987857055664,75.18664535522461,32.1676371383667,66.90291854858398,17.971185970306397,49.55470329284668,65.5271044921875,44.94214416503906,30.045196990966797,35.86326389312744
2020-04-28,66.38918281555176,212.5004391479492,101.45155990600585,187.9683987426758,21.985802726745604,30.408874969482422,82.3596730041504,69.98321723937988,74.1791074371338,75.90499954223633,168.03796981811524,50.73998237609863,62.11222007751465,89.6017677307129,43.13191848754883,133.23463623046874,175.84502655029297,120.83379348754883,156.5498452758789,54.90579460144043,81.49679260253906,65.3947996520996,116.0790151977539,105.14537567138672,75.05692962646485,32.097063865661625,66.70787292480469,17.632641925811768,49.368696517944336,64.32994911193848,44.941210174560545,29.69620147705078,35.607529945373535
2020-04-29,66.236695022583,212.22600616455077,101.66859985351563,183.97079864501953,21.817975006103516,30.284790267944334,82.26551849365234,69.72211204528809,73.918071975708,75.82879943847657,167.85503921508788,49.98200782775879,61.9349600982666,88.95008453369141,42.9218367767334,133.50252716064452,175.37332702636718,120.78982681274414,156.37064392089843,54.698699188232425,81.23488098144531,65.40510116577148,115.87783584594726,105.0184310913086,74.92316360473633,32.054611396789554,66.48004348754883,17.34635259628296,49.16453010559082,63.21546585083008,44.95464424133301,29.389770431518556,35.40496486663818
2020-04-30,66.09127769470214,212.06085052490235,101.97237976074219,180.02519897460937,21.62884220123291,30.140448684692384,82.16189147949218,69.40885231018066,73.63379920959473,75.69919952392578,167.54381637573243,49.26833229064941,61.75679008483887,88.22799514770507,42.68582427978516,133.76398071289063,175.117998046875,120.66531219482422,156.21497589111328,54.50674110412598,80.94708572387695,65.29431350708008,115.65878662109375,104.89556594848632,74.78296356201172,31.97529582977295,66.23306015014649,17.022632484436034,48.96290969848633,62.10304100036621,44.9521964263916,29.06440185546875,35.17875133514404
2020-05-01,65.93898429870606,211.83664184570313,102.10531982421875,175.9669989013672,21.419815101623534,29.9732283782959,81.96960403442382,69.06834526062012,73.31509468078613,75.53639953613282,167.24196243286133,48.527564697265625,61.5571199798584,87.46094955444336,42.44556457519531,133.98416229248048,174.8720590209961,120.49817428588867,156.0249737548828,54.285536727905274,80.6264778137207,65.16606628417969,115.40790100097657,104.73291091918945,74.57838897705078,31.881723136901854,65.96029159545898,16.68760913848877,48.701549758911135,60.8783283996582,44.941758422851564,28.708191871643066,34.906055488586425
2020-05-04,65.84199089050293,211.6663040161133,102.32533981323242,171.9885989379883,21.21688591003418,29.816317100524902,81.76917022705078,68.77464378356933,72.97925926208497,75.35699966430664,166.94648391723632,47.785532302856446,61.396559982299806,86.7038038635254,42.18999908447265,134.19695922851562,174.7737631225586,120.35503341674804,156.02979583740233,54.075647506713864,80.35353424072265,65.15308868408204,115.15870407104492,104.54893890380859,74.37385681152344,31.781498527526857,65.67536743164062,16.369633560180663,48.46276191711426,59.623366622924806,44.9199568939209,28.341160202026366,34.67364421844482
2020-05-05,65.8389673614502,211.59654205322266,102.63384979248048,168.13859909057618,21.038384132385254,29.702102394104003,81.63731643676758,68.5770598602295,72.65427925109863,75.27719970703124,166.7805210876465,47.09022994995117,61.32571998596191,86.0088525390625,41.96494369506836,134.57068145751953,174.90062866210937,120.26911514282227,156.22018463134765,53.88235061645508,80.19147521972656,65.25586044311524,114.9798536682129,104.43092071533204,74.23882858276367,31.716683120727538,65.46135208129883,16.09761236190796,48.25621940612793,58.35272537231445,44.905924224853514,27.979178466796874,34.48559497833252
2020-05-06,65.90016777038574,211.45345794677735,103.0123698425293,164.49299880981445,20.883945770263672,29.607761459350584,81.49655792236328,68.39886665344238,72.32862098693847,75.30319961547852,166.75675735473632,46.4342544555664,61.2848299407959,85.38750198364258,41.74294036865234,134.97336791992188,175.13438049316406,120.25820755004882,156.499306640625,53.671514739990236,80.1108169555664,65.43474365234376,114.81242919921876,104.29371520996094,74.16625991821289,31.666343803405763,65.29135528564453,15.84708604812622,48.03185722351074,57.093011932373045,44.89174087524414,27.62729694366455,34.319074363708495
2020-05-07,65.9542487335205,211.3367022705078,103.40038986206055,160.95419876098632,20.746468811035157,29.53502395629883,81.40240341186524,68.3085994720459,72.01263023376465,75.28559967041015,166.76053634643554,45.83978424072266,61.26363990783691,84.77625198364258,41.52213981628418,135.34141052246093,175.41528259277345,120.20417266845703,156.75836791992188,53.47287155151367,80.04968536376953,65.6210188293457,114.64314559936524,104.16255508422852,74.12209289550782,31.64398365020752,65.21325393676757,15.631211013793946,47.828879013061524,55.901557998657225,44.876260375976564,27.295483016967772,34.17603954315186
